חשבון קרן,קרן,שם קרן,מספר נייר,שם נייר/סוג חשבון,מטבע,ערך נקוב,שער נייר,שער מטבע,"סה""כ ש""ח"
,5125208,חשבון פיקטיבי השק50/50,1184308,אמ.די.ג'י אגח ד,"ש""ח",55525,81.44,0,45219.56
,5125208,חשבון פיקטיבי השק50/50,1184357,מיכמן אגח ב,"ש""ח",79090,90.31,0,71426.18
,5125208,חשבון פיקטיבי השק50/50,1186485,פאי סיאם אגח א,"ש""ח",63605,91.36,0,58109.53
,5125208,חשבון פיקטיבי השק50/50,1186865,מלרן      אגח ד,"ש""ח",47876,92.35,0,44213.49
,5125208,חשבון פיקטיבי השק50/50,1187194,ישראייר גרופ,"ש""ח",32229,172.4,0,55562.8
,5125208,חשבון פיקטיבי השק50/50,1188242,שוב אנרגיה,"ש""ח",24167,282.9,0,68368.44
,5125208,חשבון פיקטיבי השק50/50,1188572,אקרו אגח א,"ש""ח",66380,95.39,0,63319.88
,5125208,חשבון פיקטיבי השק50/50,1188648,ספיר קור אגח יט,"ש""ח",35299,99.49,0,35118.98
,5125208,חשבון פיקטיבי השק50/50,1189406,אלוני חץ אגח יג,"ש""ח",80000,90.54,0,72432
,5125208,חשבון פיקטיבי השק50/50,1189414,אלוני חץ אגח טו,"ש""ח",80000,92.54,0,74032
,5125208,חשבון פיקטיבי השק50/50,1190040,חג'ג'    אגח יג,"ש""ח",62956,101.08,0,63635.92
,5125208,חשבון פיקטיבי השק50/50,1192673,פז זיקוק אג2-רמ,"ש""ח",80000,100.2,0,80160
,5125208,חשבון פיקטיבי השק50/50,1192889,דלק קב אגח לז,"ש""ח",117214.6,102.29,0,119898.81
,5125208,חשבון פיקטיבי השק50/50,1192913,נורסטאר אר 2,"ש""ח",3410,196.5,0,6700.65
,5125208,חשבון פיקטיבי השק50/50,1193341,להב       אגח ג,"ש""ח",80000,100.63,0,80504
,5125208,חשבון פיקטיבי השק50/50,1196179,דלק נכסים אגח א,"ש""ח",65000,98.88,0,64272
,5125208,חשבון פיקטיבי השק50/50,1260652,ג'י סיטי אגח יג,"ש""ח",42701,90.45,0,38623.05
,5125208,חשבון פיקטיבי השק50/50,1820281,אדגר     אגח יא,"ש""ח",45327.25,97.65,0,44262.06
,5125208,חשבון פיקטיבי השק50/50,2320224,ישראמקו   אגח ב,"ש""ח",75000,99.99,0,74992.5
,5125208,חשבון פיקטיבי השק50/50,2590248,בזן,"ש""ח",65131,103,0,67084.93
,5125208,חשבון פיקטיבי השק50/50,2590578,בזן      אגח יב,"ש""ח",113701,94.78,0,107765.81
,5125208,חשבון פיקטיבי השק50/50,3730579,אאורה    אגח טז,"ש""ח",101135,93.56,0,94621.91
,5125208,חשבון פיקטיבי השק50/50,3870169,אלרוב נדלן אגחה,"ש""ח",89524.42,103.3,0,92478.73
,5125208,חשבון פיקטיבי השק50/50,3900495,אלוני חץ אגח יב,"ש""ח",40714.67,82.1,0,33426.74
,5125208,חשבון פיקטיבי השק50/50,4220349,אסאר אקורד אגחא,"ש""ח",49807.48,97.37,0,48497.54
,5125208,חשבון פיקטיבי השק50/50,4340212,ישראל קנדה אגחז,"ש""ח",68718,89.12,0,61241.48
,5125208,חשבון פיקטיבי השק50/50,4860193,וויי בוקס אגח ד,"ש""ח",52116,107.01,0,55769.33
,5125208,חשבון פיקטיבי השק50/50,5390273,רוטשטיין  אגח י,"ש""ח",69549,96.12,0,66850.5
,5125208,חשבון פיקטיבי השק50/50,5760244,חברהלישראלאגח11,"ש""ח",37043.38,95.29,0,35298.64
,5125208,חשבון פיקטיבי השק50/50,5760244,חברהלישראלאגח11,"ש""ח",0,0,0,30512.49
,5125208,חשבון פיקטיבי השק50/50,5760327,חברהלישראלאגח15,"ש""ח",1706,88.73,0,1513.73
,5125208,חשבון פיקטיבי השק50/50,6390207,דיסק השק  אגח ו,"ש""ח",69861.67,125.4,0,87606.53
,5125208,חשבון פיקטיבי השק50/50,6390348,דיסק השק  אגח י,"ש""ח",135737.81,89.01,0,120820.22
,5125208,חשבון פיקטיבי השק50/50,6990212,נכסים ובנ אגח ט,"ש""ח",65060.31,86.18,0,56068.98
,5125208,חשבון פיקטיבי השק50/50,7200116,אנלייט אנר אגחה,"ש""ח",61975.72,99.28,0,61529.49
,5125208,חשבון פיקטיבי השק50/50,7200249,אנלייט אנר אג ג,"ש""ח",200433,83.2,0,166760.26
,5125208,חשבון פיקטיבי השק50/50,7200256,אנלייט אנ אגח ד,"ש""ח",77106,81.32,0,62702.6
,5125208,חשבון פיקטיבי השק50/50,7300171,צור       אגח י,"ש""ח",72866.13,101.56,0,74002.84
,5125208,חשבון פיקטיבי השק50/50,8230294,חג'ג'      אג י,"ש""ח",67135,94.2,0,63241.17
,5125208,חשבון פיקטיבי השק50/50,71010060,SMSN LI,"דולרים של ארה""ב",11,1337,3.7286,54836.52
,5125208,חשבון פיקטיבי השק50/50,71010060,SMSN LI,"דולרים של ארה""ב",57.64,0,3.7286,214.92
,5125208,חשבון פיקטיבי השק50/50,71021075,EWZ,"דולרים של ארה""ב",615,29.94,3.7286,68655.08
,5125208,חשבון פיקטיבי השק50/50,71027767,EZJ LN,לירות שטרלינג,3000,485.4,4.6037,67039.08
,5125208,חשבון פיקטיבי השק50/50,71057970,RSP,"דולרים של ארה""ב",225,141.09,3.7286,118365.34
,5125208,חשבון פיקטיבי השק50/50,71076715,PLX,"דולרים של ארה""ב",3000,2.06,3.7286,23042.75
,5125208,חשבון פיקטיבי השק50/50,71079131,QTEC,"דולרים של ארה""ב",250,141,3.7286,131433.15
,5125208,חשבון פיקטיבי השק50/50,71231591,GLRE,"דולרים של ארה""ב",2000,9.7,3.7286,72334.84
,5125208,חשבון פיקטיבי השק50/50,71271670,KBWB,"דולרים של ארה""ב",350,40.1,3.7286,52330.9
,5125208,חשבון פיקטיבי השק50/50,71348502,KWEB,"דולרים של ארה""ב",900,26.08,3.7286,87517.7
