מספר חשבון,מספר נייר,שם עברי קצר,שווי נטו
,5119435,חשבון פיקטיבי 15/85,449827916
,5119724,חשבון פיקטיבי מחקה מש אגח מנ9010,29952877
,5119732,חשבון פיקטיבי מחקה מש משל מנ9010,15793354
,5119857,חשבון פיקטיבי אגח חול מנוטרל מטח,11315451
,5120251,חשבון פיקטיבי מחקה מש אגח מנ7525,26742583
,5120259,חשבון פיקטיבי מחקה ALLBOND ר.מש,12514044
,5120300,חשבון פיקטיבי מחקה נדלן SOL IL,106835083
,5120680,"חשבון פיקטיבי תיק אג""ח+%10",3447369
,5120665,חשבון פיקטיבי מדינה פלוס A ומעלה,1131559729
,5121488,חשבון פיקטיבי מחקה DAX ממ,9158710
,5121918,חשבון פיקטיבי מחקה מש משת מנ9010,8061755
,5121910,חשבון פיקטיבי מחקה SP FINANCE ממ,18416888
,5122116,חשבון פיקטיבי מחקה NDX 100 ממ,140462808
,5122413,חשבון פיקטיבי מחקה תלבונד תשו ש,10909080
,5122421,חשבון פיקטיבימחקה מש משלקנמנ9010,6940328
,5122512,חשבון פיקטיבי 20/80,149539890
,5122520,חשבון פיקטיבי 30/70,618366538
,5122710,חשבון פיקטיבי מחקה SOL US REIT,20787056
,5122908,חשבון פיקטיבי מחקה מש SPCONSUMממ,13701062
,5122926,חשבון פיקטיבי מחקה SP HEALTHCARE,78245234
,5123039,חשבון פיקטיבי מחקה SP 500 ממ,70093238
,5123437,חשבון פיקטיבי מחקה SP 500 LVHD,24708122
,5124015,חשבון פיקטיבי מחקה SP FINANCE,6921280
